faculty,phase,term,gender,race,grade,count
6,3b,Fall 2018,men,black,B,2
6,3b,Fall 2018,men,black,C,1
6,3b,Fall 2018,men,black,D,3
6,3b,Fall 2018,men,black,F,3
6,3b,Fall 2018,men,black,W,2
6,3b,Fall 2018,men,hispanic,A,2
6,3b,Fall 2018,men,hispanic,B,2
6,3b,Fall 2018,men,hispanic,D,1
6,3b,Fall 2018,men,hispanic,W,1
6,3b,Fall 2018,men,nonURM,A,4
6,3b,Fall 2018,men,nonURM,B,6
6,3b,Fall 2018,men,nonURM,C,3
6,3b,Fall 2018,men,nonURM,D,2
6,3b,Fall 2018,women,black,B,1
6,3b,Fall 2018,women,black,D,1
6,3b,Fall 2018,women,hispanic,A,1
6,3b,Fall 2018,women,hispanic,D,1
6,3b,Fall 2018,women,hispanic,F,1
6,3b,Fall 2018,women,hispanic,W,1
6,3b,Fall 2018,women,nonURM,A,3
6,3b,Fall 2018,women,nonURM,B,1
6,3b,Fall 2018,women,nonURM,C,2
6,3b,Fall 2018,women,nonURM,D,1
7,1a,Fall 2016,men,black,W,2
7,1a,Fall 2016,men,nonURM,A,31
7,1a,Fall 2016,men,nonURM,B,14
7,1a,Fall 2016,men,nonURM,C,12
7,1a,Fall 2016,men,nonURM,D,6
7,1a,Fall 2016,men,nonURM,F,8
7,1a,Fall 2016,men,nonURM,W,20
7,1a,Fall 2016,women,amerind,B,1
7,1a,Fall 2016,women,nonURM,A,6
7,1a,Fall 2016,women,nonURM,C,3
7,1a,Fall 2016,women,nonURM,F,3
7,1a,Fall 2016,women,nonURM,W,3
7,1b,Spring 2017,men,black,C,1
7,1b,Spring 2017,men,black,F,1
7,1b,Spring 2017,men,hispanic,A,1
7,1b,Spring 2017,men,hispanic,C,1
7,1b,Spring 2017,men,natpac,F,1
7,1b,Spring 2017,men,nonURM,A,12
7,1b,Spring 2017,men,nonURM,B,4
7,1b,Spring 2017,men,nonURM,C,10
7,1b,Spring 2017,men,nonURM,D,3
7,1b,Spring 2017,men,nonURM,F,4
7,1b,Spring 2017,men,nonURM,W,8
7,1b,Spring 2017,women,nonURM,A,2
7,1b,Spring 2017,women,nonURM,B,1
7,1b,Spring 2017,women,nonURM,C,1
7,1b,Spring 2017,women,nonURM,F,1
7,2a,Fall 2017,men,black,C,1
7,2a,Fall 2017,men,black,F,1
7,2a,Fall 2017,men,black,W,3
7,2a,Fall 2017,men,nonURM,A,37
7,2a,Fall 2017,men,nonURM,B,22
7,2a,Fall 2017,men,nonURM,C,17
7,2a,Fall 2017,men,nonURM,D,4
7,2a,Fall 2017,men,nonURM,F,7
7,2a,Fall 2017,men,nonURM,W,11
7,2a,Fall 2017,women,black,B,1
7,2a,Fall 2017,women,nonURM,A,3
7,2a,Fall 2017,women,nonURM,B,2
7,2a,Fall 2017,women,nonURM,C,1
7,2a,Fall 2017,women,nonURM,D,1
7,2a,Fall 2017,women,nonURM,W,2
7,3a,Spring 2018,men,black,C,1
7,3a,Spring 2018,men,black,F,2
7,3a,Spring 2018,men,nonURM,A,19
